City ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,ler,80,SS,broken clouds,71,8.3,30.14,80.26,0.0,0.0,5.95
1,mount gambier,90,AU,overcast clouds,81,-37.83,140.77,53.6,0.0,0.0,11.41
2,chokurdakh,43,RU,scattered clouds,17,70.63,147.92,91.42,0.0,0.0,7.34
3,tateyama,75,JP,broken clouds,69,34.98,139.87,77.0,0.0,0.0,12.75
4,kaman,4,IN,clear sky,21,27.65,77.27,110.08,0.0,0.0,15.19
5,ushuaia,99,AR,overcast clouds,93,-54.8,-68.3,35.6,0.0,0.0,4.7
6,villarrica,0,PY,clear sky,78,-25.75,-56.43,68.54,0.0,0.0,5.1
7,necochea,10,AR,clear sky,83,-38.55,-58.74,43.0,0.0,0.0,3.0
8,luganville,75,VU,broken clouds,83,-15.53,167.17,78.8,0.0,0.0,3.36
9,jamestown,1,US,mist,93,42.1,-79.24,62.6,0.0,0.0,0.74
10,hermanus,29,ZA,scattered clouds,88,-34.42,19.23,59.0,0.0,0.0,3.0
11,platon sanchez,47,MX,scattered clouds,92,21.28,-98.37,75.27,0.0,0.0,3.76
12,katete,41,UG,light rain,83,-0.78,29.75,67.57,0.12,0.12,0.56
13,albany,57,US,broken clouds,93,42.6,-73.97,70.0,0.0,0.0,2.1
14,kudat,75,MY,broken clouds,74,6.88,116.85,87.8,0.0,0.0,4.7
15,tasiilaq,100,GL,overcast clouds,78,65.61,-37.64,39.29,0.0,0.0,2.28
16,kharian,63,PK,haze,36,32.81,73.86,91.4,0.0,0.0,4.7
17,busselton,0,AU,clear sky,42,-33.65,115.33,60.01,0.0,0.0,9.42
18,trondheim,62,NO,broken clouds,47,63.43,10.4,75.2,0.0,0.0,4.7
19,saskylakh,73,RU,broken clouds,25,71.92,114.08,83.5,0.0,0.0,7.96
20,grand-santi,88,GF,overcast clouds,97,4.25,-54.38,72.0,0.0,0.0,1.32
21,bethel,1,US,clear sky,88,41.37,-73.41,66.99,0.0,0.0,2.21
22,rikitea,94,PF,overcast clouds,80,-23.12,-134.97,75.42,0.0,0.0,14.56
23,kruisfontein,67,ZA,broken clouds,35,-34.0,24.73,58.91,0.0,0.0,12.44
24,barrow,75,US,broken clouds,70,71.29,-156.79,42.8,0.0,0.0,9.17
25,sabha,0,LY,clear sky,14,27.04,14.43,86.45,0.0,0.0,13.06
26,mataura,74,NZ,broken clouds,83,-46.19,168.86,39.0,0.0,0.0,3.0
27,ancud,90,CL,overcast clouds,100,-41.87,-73.82,48.99,0.0,0.0,14.99
28,tutoia,22,BR,light rain,90,-2.76,-42.27,75.34,0.7,0.7,8.9
29,puerto ayora,80,EC,broken clouds,93,-0.74,-90.35,70.0,0.0,0.0,6.42
30,broome,1,US,clear sky,88,42.25,-75.83,64.4,0.0,0.0,6.93
31,cabo san lucas,21,MX,few clouds,38,22.89,-109.91,82.99,0.0,0.0,3.0
32,kodiak,90,US,light rain,81,57.79,-152.41,50.0,0.0,0.0,6.93
33,punta arenas,40,CL,scattered clouds,93,-53.15,-70.92,35.6,0.0,0.0,14.99
34,usogorsk,100,RU,overcast clouds,58,63.41,48.69,46.18,0.0,0.0,12.21
35,butaritari,100,KI,overcast clouds,75,3.07,172.79,80.96,0.0,0.0,13.22
36,chute-aux-outardes,20,CA,few clouds,87,49.12,-68.4,53.6,0.0,0.0,12.75
37,mount isa,0,AU,clear sky,28,-20.73,139.5,80.6,0.0,0.0,9.17
38,clyde river,1,CA,clear sky,92,70.47,-68.59,30.2,0.0,0.0,12.75
39,atuona,69,PF,broken clouds,75,-9.8,-139.03,80.24,0.0,0.0,14.74
40,ahipara,93,NZ,overcast clouds,86,-35.17,173.17,55.47,0.0,0.0,10.87
41,bluff,84,NZ,broken clouds,83,-46.6,168.33,39.0,0.0,0.0,3.0
42,concepcion del oro,15,MX,few clouds,65,24.63,-101.42,65.25,0.0,0.0,6.42
43,port alfred,30,ZA,scattered clouds,33,-33.59,26.89,69.01,0.0,0.0,13.0
44,george,20,ZA,few clouds,77,-33.96,22.46,59.0,0.0,0.0,9.17
45,wawa,100,NG,overcast clouds,91,9.9,4.42,74.68,0.0,0.0,5.57
46,acapulco,82,MX,broken clouds,72,16.86,-99.89,80.92,0.0,0.0,3.74
47,bathsheba,75,BB,thunderstorm,83,13.22,-59.52,78.8,0.0,0.0,18.34
48,nemuro,75,JP,broken clouds,93,43.32,145.57,55.4,0.0,0.0,5.82
