City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,ler,SS,80.26,8.3,30.14,
2,chokurdakh,RU,91.42,70.63,147.92,
3,tateyama,JP,77.0,34.98,139.87,Tateyama Seaside Hotel
4,kaman,IN,110.08,27.65,77.27,Khandelwal Dharmashala
6,villarrica,PY,68.54,-25.75,-56.43,Mansión Reljuv Tours SA
8,luganville,VU,78.8,-15.53,167.17,The Espiritu Hotel
9,jamestown,US,62.6,42.1,-79.24,Hampton Inn & Suites Jamestown
11,platon sanchez,MX,75.27,21.28,-98.37,Hotel Platon Sánchez
13,albany,US,70.0,42.6,-73.97,
14,kudat,MY,87.8,6.88,116.85,Dream Garden Hotel
16,kharian,PK,91.4,32.81,73.86,Jungle Hut - Pabbi Forest Park
17,busselton,AU,60.01,-33.65,115.33,Observatory Guest House
18,trondheim,NO,75.2,63.43,10.4,Comfort Hotel Trondheim
19,saskylakh,RU,83.5,71.92,114.08,
20,grand-santi,GF,72.0,4.25,-54.38,Hotel La Villa Couacou
21,bethel,US,66.99,41.37,-73.41,Courtyard by Marriott Danbury
22,rikitea,PF,75.42,-23.12,-134.97,Pension Maro'i
25,sabha,LY,86.45,27.04,14.43,محطة ام الارانب -سبها مواصلات
29,puerto ayora,EC,70.0,-0.74,-90.35,Finch Bay Galapagos Hotel
30,broome,US,64.4,42.25,-75.83,Chenango Valley State Park
31,cabo san lucas,MX,82.99,22.89,-109.91,Hotel Tesoro Los Cabos
35,butaritari,KI,80.96,3.07,172.79,Isles Sunset Lodge
37,mount isa,AU,80.6,-20.73,139.5,ibis Styles Mt Isa Verona
39,atuona,PF,80.24,-9.8,-139.03,Villa Enata
42,concepcion del oro,MX,65.25,24.63,-101.42,HOTEL HACIENDA SAN JAVIER
43,port alfred,ZA,69.01,-33.59,26.89,The Halyards Hotel
45,wawa,NG,74.68,9.9,4.42,
46,acapulco,MX,80.92,16.86,-99.89,HS Hotsson Smart Acapulco
47,bathsheba,BB,78.8,13.22,-59.52,Atlantis Hotel
49,isla mujeres,MX,82.99,21.23,-86.73,Hotel La Joya Isla Mujeres
50,arraial do cabo,BR,70.63,-22.97,-42.03,Pousada Porto Praia
51,san pedro de uraba,CO,74.19,8.28,-76.38,Hotel La Gran Manzana
52,thinadhoo,MV,83.75,0.53,72.93,
53,adrar,MR,91.15,20.5,-10.07,
54,aripuana,BR,72.36,-9.17,-60.63,
55,saint anthony,US,68.0,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
57,cape town,ZA,60.01,-33.93,18.42,Southern Sun Waterfront Cape Town
60,bourail,NC,68.25,-21.57,165.48,Nekweta
62,khatanga,RU,67.42,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
63,shimoda,JP,77.0,34.67,138.95,Shimoda Tokyu Hotel
64,vaini,TO,73.4,-21.2,-175.2,Keleti Beach Resort
66,georgetown,MY,86.0,5.41,100.34,Cititel Penang
68,east london,ZA,62.6,-33.02,27.91,Tu Casa
69,victoria,HK,93.0,22.29,114.16,Mini Hotel Central
71,avarua,CK,71.6,-21.21,-159.78,Paradise Inn
72,camana,PE,61.5,-16.62,-72.71,Hostal Morales
73,tiksi,RU,68.2,71.69,128.87,Arktika
74,nikolskoye,RU,60.01,59.7,30.79,Tourist House - Sablino
