City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-06-15 00:37:10,-54.8,-68.3,33.8,86,75,7.31
1,Narsaq,GL,2020-06-15 00:37:10,60.92,-46.05,42.8,78,0,20.8
2,Upernavik,GL,2020-06-15 00:37:10,72.79,-56.15,32.5,95,82,12.19
3,Lufilufi,WS,2020-06-15 00:37:10,-13.87,-171.6,82.4,83,75,10.29
4,Castro,BR,2020-06-15 00:37:10,-24.79,-50.01,54.18,91,83,8.97
5,Albany,US,2020-06-15 00:35:02,42.6,-73.97,64.0,59,75,6.08
6,Sur,OM,2020-06-15 00:37:11,22.57,59.53,87.8,51,0,4.88
7,Bethel,US,2020-06-15 00:33:57,41.37,-73.41,63.0,67,1,4.7
8,Bafra,TR,2020-06-15 00:37:11,41.57,35.91,59.0,93,20,1.12
9,Esperance,AU,2020-06-15 00:37:11,-33.87,121.9,51.8,81,41,12.75
10,Provideniya,RU,2020-06-15 00:37:12,64.38,-173.3,50.0,66,97,13.42
11,Kismayo,SO,2020-06-15 00:37:12,-0.36,42.55,77.74,80,14,15.41
12,Rikitea,PF,2020-06-15 00:37:12,-23.12,-134.97,76.08,86,97,11.54
13,Leningradskiy,RU,2020-06-15 00:34:47,69.38,178.42,47.01,73,40,6.62
14,Punta Arenas,CL,2020-06-15 00:37:12,-53.15,-70.92,37.4,93,100,11.41
15,Pevek,RU,2020-06-15 00:37:13,69.7,170.31,39.85,84,18,6.31
16,Amuntai,ID,2020-06-15 00:37:13,-2.42,115.25,82.83,75,29,1.39
17,Souillac,MU,2020-06-15 00:37:13,-20.52,57.52,71.6,73,20,8.05
18,New Norfolk,AU,2020-06-15 00:37:13,-42.78,147.06,57.0,78,100,4.0
19,Bollnas,SE,2020-06-15 00:37:13,61.35,16.39,51.01,81,0,3.02
20,Salalah,OM,2020-06-15 00:37:14,17.02,54.09,86.0,84,90,2.24
21,Cidreira,BR,2020-06-15 00:37:14,-30.18,-50.21,52.32,72,0,4.76
22,Kahului,US,2020-06-15 00:37:14,20.89,-156.47,86.0,51,40,24.16
23,Barrow,US,2020-06-15 00:34:34,71.29,-156.79,46.4,70,1,10.29
24,Cherskiy,RU,2020-06-15 00:33:05,68.75,161.3,70.79,35,25,3.76
25,Hermanus,ZA,2020-06-15 00:37:15,-34.42,19.23,52.0,96,59,4.21
26,Busselton,AU,2020-06-15 00:37:15,-33.65,115.33,57.99,70,100,8.88
27,Chegdomyn,RU,2020-06-15 00:37:15,51.12,133.02,66.06,40,100,3.85
28,Luderitz,NA,2020-06-15 00:37:15,-26.65,15.16,62.6,29,0,13.87
29,Severo-Kurilsk,RU,2020-06-15 00:34:43,50.68,156.12,41.52,91,100,14.23
30,Hilo,US,2020-06-15 00:37:15,19.73,-155.09,80.6,69,75,4.7
31,Kaitangata,NZ,2020-06-15 00:33:19,-46.28,169.85,48.0,54,100,3.0
32,Campbell River,CA,2020-06-15 00:37:16,50.02,-125.24,61.0,72,75,4.7
33,East London,ZA,2020-06-15 00:37:16,-33.02,27.91,58.75,41,2,10.25
34,Cape Town,ZA,2020-06-15 00:36:50,-33.93,18.42,54.0,93,75,1.12
35,Komsomolskiy,UZ,2020-06-15 00:37:17,40.43,71.72,75.2,29,92,4.7
36,Arraial Do Cabo,BR,2020-06-15 00:37:17,-22.97,-42.03,71.22,82,75,17.11
37,Jamestown,US,2020-06-15 00:36:45,42.1,-79.24,64.4,39,1,8.05
38,Nokaneng,BW,2020-06-15 00:37:17,-19.67,22.27,50.52,48,0,5.68
39,Bengkulu,ID,2020-06-15 00:37:18,-3.8,102.27,79.27,70,43,3.91
40,Butaritari,KI,2020-06-15 00:34:33,3.07,172.79,82.62,71,27,5.03
41,Torit,SS,2020-06-15 00:37:18,4.41,32.57,69.51,83,2,3.13
42,Mataura,NZ,2020-06-15 00:37:18,-46.19,168.86,47.44,69,100,5.23
43,Banska Bystrica,SK,2020-06-15 00:37:18,48.5,19.5,60.8,100,40,2.06
44,Meulaboh,ID,2020-06-15 00:37:19,4.14,96.13,79.54,86,85,5.77
45,Antofagasta,CL,2020-06-15 00:35:16,-23.65,-70.4,59.0,82,90,4.7
46,Puerto Ayora,EC,2020-06-15 00:37:19,-0.74,-90.35,75.2,73,40,12.75
47,Tucuman,AR,2020-06-15 00:37:19,-26.82,-65.22,51.8,62,0,5.82
